sample_id,dataset_name,source_video_id,group_id,split,label,residual_sequence_path,video_id,generator_name,prompt_sha256,source_video_path,source_video_sha256,residual_sha256,sampling_mode,selected_frame_count,clip_length,clip_count,source_commit,source_config_sha256,scale_prior_schema_version,scale_prior_sha256,scale_prior_source_table_sha256,canonical_axis_schema_version,canonical_threshold_config_sha256,scale_prior_entry_id,scale_prior_confidence,sampler_version,license_status
real::gJKsjHgG6sI_10_0to520,AIGVDBench,gJKsjHgG6sI_10_0to520,aigvdbench:gJKsjHgG6sI_10_0to520,train,0,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_cmVhbDo6Z0pLc2pIZ0c2c0lfMTBfMHRvNTIw/result.json,gJKsjHgG6sI_10_0to520.mp4,,b98aa93dfb39f614a2698a4d0d4b37a99eaa71d1935142919bfc0edf8559d988,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDpnSktzakhnRzZzSV8xMF8wdG81MjA/real.mp4,db2a2f9f582aafaa427fc3e9ce685c238d0c662c92ef1bfe627605be1bf33117,a114f994da6256259dcda62cb63bbfbec557284b5a90b6897d224c116f37a020,uniform_full_video,32,8,4,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,[],{},uniform_full_video_integer_v1,dataset_cc_by_4_0_component_partial
open_sora::gJKsjHgG6sI_10_0to520,AIGVDBench,gJKsjHgG6sI_10_0to520,aigvdbench:gJKsjHgG6sI_10_0to520,train,1,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_b3Blbl9zb3JhOjpnSktzakhnRzZzSV8xMF8wdG81MjA/result.json,gJKsjHgG6sI_10_0to520.mp4,Open-Sora,b98aa93dfb39f614a2698a4d0d4b37a99eaa71d1935142919bfc0edf8559d988,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDpnSktzakhnRzZzSV8xMF8wdG81MjA/open_sora.mp4,d52c062cf0f2debde21d8d8fe74be4d56d0479e6f4b88f53682ef97d66fef68d,c46e1e621160d425c90ac51bf47acc98f7d0501b1cc094cdee159901703be468,uniform_full_video,32,8,4,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_person_height_q01_q99_v1""]","{""kitti_person_height_q01_q99_v1"":""high""}",uniform_full_video_integer_v1,dataset_cc_by_4_0_component_partial
real::5Jt_XnncnVg_27_0to401,AIGVDBench,5Jt_XnncnVg_27_0to401,aigvdbench:5Jt_XnncnVg_27_0to401,train,0,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_cmVhbDo6NUp0X1hubmNuVmdfMjdfMHRvNDAx/result.json,5Jt_XnncnVg_27_0to401.mp4,,f3adb124b1250d4da599eb59ca5477c966c2feac2ec9597772fb53203d841073,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDo1SnRfWG5uY25WZ18yN18wdG80MDE/real.mp4,79d5360fa8cdba2152a979d3114b623d555e26ee8556566ee6237e08cd9d7192,77fa1dfbb2a729aee8881d2570fffd5e063a12237f7bdbeb95e1f1b9762d15db,uniform_full_video,32,8,4,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_car_length_q01_q99_v1"",""kitti_person_height_q01_q99_v1""]","{""kitti_car_length_q01_q99_v1"":""high"",""kitti_person_height_q01_q99_v1"":""high""}",uniform_full_video_integer_v1,dataset_cc_by_4_0_component_partial
open_sora::5Jt_XnncnVg_27_0to401,AIGVDBench,5Jt_XnncnVg_27_0to401,aigvdbench:5Jt_XnncnVg_27_0to401,train,1,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_b3Blbl9zb3JhOjo1SnRfWG5uY25WZ18yN18wdG80MDE/result.json,5Jt_XnncnVg_27_0to401.mp4,Open-Sora,f3adb124b1250d4da599eb59ca5477c966c2feac2ec9597772fb53203d841073,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDo1SnRfWG5uY25WZ18yN18wdG80MDE/open_sora.mp4,7c73a1865a8f6f61210f22c0165c13ed0e66ff851bb0994d3b0fb5be4d798022,d5f96156868335cac96de9c867cf93d1962fe0f0d5a9c3d01f90d034a6a6c35e,uniform_full_video,32,8,4,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_car_length_q01_q99_v1""]","{""kitti_car_length_q01_q99_v1"":""high""}",uniform_full_video_integer_v1,dataset_cc_by_4_0_component_partial
real::Dh0v721XH9A_4_0to224,AIGVDBench,Dh0v721XH9A_4_0to224,aigvdbench:Dh0v721XH9A_4_0to224,train,0,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_cmVhbDo6RGgwdjcyMVhIOUFfNF8wdG8yMjQ/result.json,Dh0v721XH9A_4_0to224.mp4,,ea83118fe02b170aa55b9b361df15c82b9765263c2bb635e9304cb838ce44b05,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDpEaDB2NzIxWEg5QV80XzB0bzIyNA/real.mp4,9f9a26a04a4994b4b3324ada9f634ce7f14a741f700a4ef6501441c643cbda4b,e438258ee31c319f5b000e3cd867d3ecf2666868e470d7b6b0c00a657c6981a4,uniform_full_video,32,8,4,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_person_height_q01_q99_v1"",""objectron_bottle_height_q01_q99_v1""]","{""kitti_person_height_q01_q99_v1"":""high"",""objectron_bottle_height_q01_q99_v1"":""medium""}",uniform_full_video_integer_v1,dataset_cc_by_4_0_component_partial
open_sora::Dh0v721XH9A_4_0to224,AIGVDBench,Dh0v721XH9A_4_0to224,aigvdbench:Dh0v721XH9A_4_0to224,train,1,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_b3Blbl9zb3JhOjpEaDB2NzIxWEg5QV80XzB0bzIyNA/result.json,Dh0v721XH9A_4_0to224.mp4,Open-Sora,ea83118fe02b170aa55b9b361df15c82b9765263c2bb635e9304cb838ce44b05,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDpEaDB2NzIxWEg5QV80XzB0bzIyNA/open_sora.mp4,4cc1e352f4b98191b9ed0a9253f05c2a7cb528aadf133f36f5a7857bc9106c8f,066bec10e62285c55bb1802b46f709d811997078854fe2ef89308e7091ddab67,uniform_full_video,32,8,4,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_person_height_q01_q99_v1""]","{""kitti_person_height_q01_q99_v1"":""high""}",uniform_full_video_integer_v1,dataset_cc_by_4_0_component_partial
real::2f6LelxirVM_1_0to123,AIGVDBench,2f6LelxirVM_1_0to123,aigvdbench:2f6LelxirVM_1_0to123,train,0,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_cmVhbDo6MmY2TGVseGlyVk1fMV8wdG8xMjM/result.json,2f6LelxirVM_1_0to123.mp4,,517e7c19c14e18cb121cec8d9d5bc488e7db523b6dc4bbcd5da4fbe506d522d5,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDoyZjZMZWx4aXJWTV8xXzB0bzEyMw/real.mp4,5d2e0486e01ddb5a6c5d3aa2998d4211273abbcc0e209531bdb2a7586960c0c6,3b9b147c1c93d12bff66b2c72613ad9fb334289055a166b29f7541005ad510a1,uniform_full_video,32,8,4,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_person_height_q01_q99_v1""]","{""kitti_person_height_q01_q99_v1"":""high""}",uniform_full_video_integer_v1,dataset_cc_by_4_0_component_partial
open_sora::2f6LelxirVM_1_0to123,AIGVDBench,2f6LelxirVM_1_0to123,aigvdbench:2f6LelxirVM_1_0to123,train,1,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_b3Blbl9zb3JhOjoyZjZMZWx4aXJWTV8xXzB0bzEyMw/result.json,2f6LelxirVM_1_0to123.mp4,Open-Sora,517e7c19c14e18cb121cec8d9d5bc488e7db523b6dc4bbcd5da4fbe506d522d5,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDoyZjZMZWx4aXJWTV8xXzB0bzEyMw/open_sora.mp4,37258201b9d29f6e28e76728baeb353e42a584c4eb80dc3110c9fe5963c31ba1,e1fb699b9a619e50871f35241e5283fb1a424fb0dd0b34287cdec059e1ae1c2d,uniform_full_video,32,8,4,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_person_height_q01_q99_v1"",""objectron_bottle_height_q01_q99_v1""]","{""kitti_person_height_q01_q99_v1"":""high"",""objectron_bottle_height_q01_q99_v1"":""medium""}",uniform_full_video_integer_v1,dataset_cc_by_4_0_component_partial
real::Ec101pAONBM_85_0to110,AIGVDBench,Ec101pAONBM_85_0to110,aigvdbench:Ec101pAONBM_85_0to110,train,0,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_cmVhbDo6RWMxMDFwQU9OQk1fODVfMHRvMTEw/result.json,Ec101pAONBM_85_0to110.mp4,,248f93cae0de3595d8d4d3d33747ab878e855d13f22286391dfd8ded2a9be6db,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDpFYzEwMXBBT05CTV84NV8wdG8xMTA/real.mp4,9baedbb0b7ec48fe970a6b67f814ac7947be84ec30c747e97d3ee6dd95ec2710,019943d83f8bb877a423c114ec73782648bd975dceda9f174ef58a2c96232645,uniform_full_video,32,8,4,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_car_length_q01_q99_v1""]","{""kitti_car_length_q01_q99_v1"":""high""}",uniform_full_video_integer_v1,dataset_cc_by_4_0_component_partial
open_sora::Ec101pAONBM_85_0to110,AIGVDBench,Ec101pAONBM_85_0to110,aigvdbench:Ec101pAONBM_85_0to110,train,1,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1/sid_b3Blbl9zb3JhOjpFYzEwMXBBT05CTV84NV8wdG8xMTA/result.json,Ec101pAONBM_85_0to110.mp4,Open-Sora,248f93cae0de3595d8d4d3d33747ab878e855d13f22286391dfd8ded2a9be6db,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2/train/gid_YWlndmRiZW5jaDpFYzEwMXBBT05CTV84NV8wdG8xMTA/open_sora.mp4,1935ef7bfd0170d2c6d20fe0c70f0dd508adf5ca7e2a6b8ed3965b219c104cae,7c0388f12a9ebcf373bc323873947017ec5efd2416b40bef7ace9bfb7adbb246,uniform_full_video,32,8,4,739650c00470f9ed127cdcaa69460abc9d493f5e,c76ce5268887a3224e7ebd13fc1e5a44325f265148f84770774bf0bf7ff0bf80,paper_core_scale_priors_v1,6ce420b0af6ac913569f3d5599231dc2f89e0e7d180d1c1cec3180abfd8b055b,191a79154fb529fdd304f8cd7198c3c9f22c173e494eaff5e6ff43a27044bdc8,paper_core_canonical_axis_v1,78aedb8863999d17bddce1289828a1afdb98fc9ebf0092e047c7134f5e02a4dc,"[""kitti_car_length_q01_q99_v1""]","{""kitti_car_length_q01_q99_v1"":""high""}",uniform_full_video_integer_v1,dataset_cc_by_4_0_component_partial
