asset_name,original_path,asset_type,required_for_training,required_for_reextraction,upload_to_git,upload_to_cloud,file_count,size_bytes,sha256_or_checksum_file,notes
candidate_manifest,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/manifests/aigvdbench_open_sora_paired_2k_candidate_v2.csv,text_manifest,false,true,true,true,1,835673,checksums.sha256,Frozen Pilot-v2 candidate identity; copied under manifests.
local_media_manifest,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/media_inventory/full2k/local_media_manifest.csv,text_manifest,false,true,true,true,1,1360764,checksums.sha256,Exactly 2000 complete local media records; copied under manifests.
final_residual_manifest,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/manifests/aigvdbench_open_sora_paired_2k_residual_v1.csv,text_manifest,true,false,true,true,1,2260675,checksums.sha256,Exactly 2000 residual records; copied under manifests.
full2k_media_inventory,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/media_inventory/full2k,audit_metadata,false,true,true,true,5,2511805,checksums.sha256,Only the two formal non-smoke audit CSV files are copied; smoke manifests remain external.
full2k_media,/root/autodl-tmp/datasets/aigvdbench_pilot_v1/videos_v2,video_dataset,false,true,false,true,2000,4518226852,manifests/local_media_manifest.csv,Per-video SHA-256 is recorded in the local media manifest; no media is in Git.
full2k_residual_output,/root/autodl-tmp/outputs/paper_core_r5b3/aigvdbench_pilot2k_residuals_v1,residual_dataset,true,false,false,true,22008,18669868795,manifests/aigvdbench_open_sora_paired_2k_residual_v1.csv,Formal per-sample arrays and provenance stay in cloud storage; only lightweight audits are copied.
model_assets,/root/autodl-tmp/checkpoints,model_weights,false,true,false,true,5,157235248,environment/model_weights.csv,YOLO and UniDepth assets are identified by size and SHA-256; no weight is in Git.
unidepth_source,/root/autodl-tmp/projects/third_party/UniDepth,source_checkout,false,true,false,false,292,49674143,environment/environment.json,Restore by checkout of the pinned clean Git commit.
python_virtual_environment,/root/autodl-tmp/projects/fake_video_structural_anomaly_refactor/.venv,virtual_environment,false,false,false,false,43149,6407069876,environment/pip_freeze.txt,Do not migrate; rebuild with Python 3.12.3 and the recorded package set.
runtime_caches,/root/autodl-tmp/caches,rebuildable_cache,false,false,false,false,5062,4531387017,,Do not migrate.
